ID,Name,Typ,Verein,Jugendverein,Land,Am,MW
fcb1,Manuel Neuer,1,fcb,gelj,,,J
fcb2,Dayot Upamecano,1,fcb,vafc,,,K
fcb4,Mathijs de Ligt,1,fcb,aja,,,L
fcb5,Benjamin Pavard,1,fcb,lil,,,J
fcb6,Joshua Kimmich,1,fcb,vfbj,,,L
fcb7,Serge Gnabry,1,fcb,ars,,,L
fcb8,Leon Goretzka,1,fcb,bocj,,,L
fcb10,Leroy Sane,1,fcb,gelj,,,L
fcb11,Kingsley Coman,1,fcb,psg,,,L
fcb13,Eric Maxim Choupo Moting,1,fcb,hsv,,,D
fcb14,Paul Wanner,1,fcb,fcb,,,B
fcb17,Sadio Mane,1,fcb,foot,,,L
fcb19,Alphonso Davies,1,fcb,vanw,,,L
fcb20,Bouna Sarr,1,fcb,met,,,D
fcb21,Lucas Hernandez,1,fcb,atm,,,L
fcb22,Joao Cancelo,1,fcb,ben,,,L
fcb23,Daley Blind,1,fcb,aja,,,G
fcb25,Thomas Mueller,1,fcb,fcbj,,,L
fcb26,Sven Ulreich,1,fcb,vfbj,,,D
fcb27,Yann Sommer,1,fcb,bas,,,E
fcb38,Ryan Gravenberch,1,fcb,aja,,,I
fcb39,Mathys Tel,1,fcb,ren,,,F
fcb40,Noussair Mazraoui,1,fcb,aja,,,H
fcb42,Jamal Musiala,1,fcb,fcbj,,,L
fcb44,Josip Stanisic,1,fcb,fcbj,,,D
fcu1,Frederik Roennow,1,fcu,hors,,,B
fcu2,Morten Thorsby,1,fcu,stab,,,C
fcu3,Paul Jaeckel,1,fcu,wobj,,,C
fcu4,Diogo Leite,1,fcu,prt,,,D
fcu5,Danilho Doekhi,1,fcu,aja,,,B
fcu7,Levin Oeztunali,1,fcu,hsv,,,C
fcu8,Rani Khedira,1,fcu,vfbj,,,D
fcu11,Sven Michel,1,fcu,nied,,,A
fcu13,Andras Schaefer,1,fcu,mtk,,,B
fcu14,Paul Seguin,1,fcu,wobj,,,A
fcu16,Tim Maciejewski,1,fcu,fcuj,,,A
fcu17,Kevin Behrens,1,fcu,svwj,,,A
fcu19,Jannik Haberer,1,fcu,uha,,,D
fcu23,Niko Giesselmann,1,fcu,han,,,B
fcu25,Timo Baumgartl,1,fcu,vfbj,,,E
fcu26,Jerome Rousillon,1,fcu,soc,,,F
fcu27,Sheraldo Becker,1,fcu,aja,,,E
fcu28,Christopher Trimmel,1,fcu,hori,,,A
fcu30,Kevin Moehwald,1,fcu,rwer,,,B
fcu31,Robin Knoche,1,fcu,wobj,,,E
fcu32,Milos Pantovic,1,fcu,fcbj,,,A
fcu37,Lennart Grill,1,fcu,fck,,,A
fcu40,Jamie Leweling,1,fcu,fur,,,B
fcu45,Jordan Siebatcheu,1,fcu,reim,,,D
fcu18,Josip Juranovic,1,fcu,nkd,,,D
fcu20,Aissa Laidouni,1,fcu,asco,,,B
rbl1,Peter Gulacsi,1,rbl,mtk,,,E
rbl2,Mohamed Simakan,1,rbl,stra,,,H
rbl4,Willi Orban,1,rbl,fck,,,F
rbl7,Dani Olmo,1,rbl,bar,,,J
rbl8,Amadou Haidara,1,rbl,bama,,,G
